ObjectID,GlobalID,Date,Location,Unlisted Location,Monitor Name,Vernal Pool Name or ID number,Optional - Water Level (in.),DO (mg/L),DO (% sat.),Conductivity (µS/cm),Salinity (ppt),Temp (C),Water Quality Notes,Optional - Comments,CreationDate,Creator,EditDate,Editor,x,y,atmospheric_pressure_mmHg,ph
26,9b16cae5-e85d-4307-8bba-ca80026d0068,1/26/19,south_parcel,,Joanna Tang,1,,7.14,80.8,214.4,0.1,21.5,opaque; measurements taken in afternoon,,1/31/19 18:24,joannatang@umail.ucsb.edu_ucsb,1/31/19 18:24,joannatang@umail.ucsb.edu_ucsb,0,0,,
27,cf7d4722-b31f-4ef9-807d-34e7e395aa5e,1/26/19,south_parcel,,Joanna Tang,3,,8.18,85.1,387.5,0.2,17.2,opaque; measurements taken in afternoon,,1/31/19 18:25,joannatang@umail.ucsb.edu_ucsb,1/31/19 18:25,joannatang@umail.ucsb.edu_ucsb,0,0,,
28,a6e86538-d0d3-4839-8741-ebd374bcd1cd,1/24/19,copr,,Joanna Tang,Ferren's Folly,,6.54,58,85.9,0.1,10,measurements taken in the morning; not opaque,,1/31/19 19:23,joannatang@umail.ucsb.edu_ucsb,5/22/19 3:55,joannatang@umail.ucsb.edu_ucsb,0,0,,
29,92d9af92-f893-4108-8bb4-b911360b5236,1/21/19,manzanita_village,,Joanna Tang,San Miguel,,,,179.2,0.1,19.4,not opaque; measurements taken in the morning; DO sensor broken,,1/31/19 19:33,joannatang@umail.ucsb.edu_ucsb,1/31/19 19:33,joannatang@umail.ucsb.edu_ucsb,0,0,,
30,4b4bab12-82c8-4b4f-8130-9d7034f19fc2,1/21/19,manzanita_village,,Joanna Tang,Santa Rosa,,,,172.2,0.1,19.5,not opaque; measurements taken in the morning; DO sensor broken,,1/31/19 19:38,joannatang@umail.ucsb.edu_ucsb,1/31/19 19:38,joannatang@umail.ucsb.edu_ucsb,0,0,,
31,387a940d-2076-4ad7-813c-93ca3baaf4ad,1/21/19,manzanita_village,,Joanna Tang,Santa Cruz,,,,222.2,0.1,19.7,not opaque; measurements taken in the morning; DO sensor broken,,1/31/19 19:38,joannatang@umail.ucsb.edu_ucsb,1/31/19 19:38,joannatang@umail.ucsb.edu_ucsb,0,0,,
32,67a577ad-e55c-40bf-85cf-c6685b7cf16d,1/21/19,manzanita_village,,Joanna Tang,Santa Barbara,,,,283.3,0.2,19.5,not opaque; measurements taken in the morning; DO sensor broken,,1/31/19 19:39,joannatang@umail.ucsb.edu_ucsb,1/31/19 19:39,joannatang@umail.ucsb.edu_ucsb,0,0,,
33,5942f352-ef15-45a9-8d7d-e38c83854ebf,1/21/19,manzanita_village,,Joanna Tang,Santa Catalina,,,,162.3,0.1,19.3,not opaque; measurements taken in the morning; DO sensor broken,,1/31/19 19:40,joannatang@umail.ucsb.edu_ucsb,1/31/19 19:40,joannatang@umail.ucsb.edu_ucsb,0,0,,
34,330be64c-a629-4b53-8fc9-5cc582aa38f6,1/23/19,manzanita_village,,Joanna Tang,San Miguel,,8.97,96.8,207.1,0.1,19,measurements taken in the afternoon,,1/31/19 23:18,joannatang@umail.ucsb.edu_ucsb,1/31/19 23:18,joannatang@umail.ucsb.edu_ucsb,0,0,,
35,645aec58-48cc-4e64-8752-d3986a1ed7b2,1/23/19,manzanita_village,,Joanna Tang,Santa Rosa,,9.79,107,231.2,0.1,19.6,measurements taken in the afternoon,,1/31/19 23:19,joannatang@umail.ucsb.edu_ucsb,1/31/19 23:19,joannatang@umail.ucsb.edu_ucsb,0,0,,
36,93d8631c-815c-4940-8f83-5537e8227767,1/23/19,manzanita_village,,Joanna Tang,Santa Cruz,,9.49,104.7,257.9,0.1,20.1,measurements taken in the afternoon,,1/31/19 23:19,joannatang@umail.ucsb.edu_ucsb,1/31/19 23:19,joannatang@umail.ucsb.edu_ucsb,0,0,,
37,2d1f2715-ff20-4770-81e3-b8e20096ca64,1/23/19,manzanita_village,,Joanna Tang,Santa Barbara,,11.69,126.9,294,0.2,19.3,measurements taken in the afternoon,,1/31/19 23:20,joannatang@umail.ucsb.edu_ucsb,1/31/19 23:20,joannatang@umail.ucsb.edu_ucsb,0,0,,
38,3b38e515-10e6-420c-8b6e-043ad3ec5d19,1/23/19,manzanita_village,,Joanna Tang,Santa Catalina,,12,127.5,170.2,0.1,18.2,measurements taken in the afternoon,,1/31/19 23:21,joannatang@umail.ucsb.edu_ucsb,1/31/19 23:21,joannatang@umail.ucsb.edu_ucsb,0,0,,
39,468e5b4c-405e-48aa-8471-5404c7cf9ad8,1/18/19,west_campus,,Joanna Tang,1,,,,36.7,0.1,15,measurements taken in the morning; DO sensor broken,,2/1/19 1:45,joannatang@umail.ucsb.edu_ucsb,2/1/19 1:45,joannatang@umail.ucsb.edu_ucsb,0,0,,
40,dfac12b6-60a5-4e94-85b6-daefcf7f278c,1/18/19,west_campus,,Joanna Tang,1,9.5,,,0.1,0,15,measurements taken in the morning; DO sensor broken,,2/1/19 1:47,joannatang@umail.ucsb.edu_ucsb,2/1/19 1:47,joannatang@umail.ucsb.edu_ucsb,0,0,,
41,18649ea6-d220-4814-8e9d-622057b6a6d3,1/18/19,west_campus,,Joanna Tang,2,6,,,73.6,0,14.8,measurements taken in the morning; DO sensor broken,,2/1/19 1:50,joannatang@umail.ucsb.edu_ucsb,2/1/19 1:50,joannatang@umail.ucsb.edu_ucsb,0,0,,
42,6ad14aca-8001-4fb1-8260-0e9ceb97c84c,1/18/19,west_campus,,Joanna Tang,4,10,,,148.5,0.1,14.7,measurements taken in the morning; DO sensor broken,,2/1/19 1:53,joannatang@umail.ucsb.edu_ucsb,2/1/19 1:53,joannatang@umail.ucsb.edu_ucsb,0,0,,
43,6c77a79a-1ddb-4102-8311-8372e62bedca,1/18/19,west_campus,,Joanna Tang,5,7,,,65.2,0,14.6,measurements taken in the morning; DO sensor broken,,2/1/19 1:55,joannatang@umail.ucsb.edu_ucsb,2/1/19 1:55,joannatang@umail.ucsb.edu_ucsb,0,0,,
44,d68d9e19-d980-466a-8eb8-1dd796edd6d9,1/18/19,west_campus,,Joanna Tang,6,13,,,148.4,0.1,14.8,measurements taken in the morning; DO sensor broken,,2/1/19 1:56,joannatang@umail.ucsb.edu_ucsb,2/1/19 1:56,joannatang@umail.ucsb.edu_ucsb,0,0,,
45,bf51f6fb-cf6a-4b5b-8fbf-6c968284e2b5,1/18/19,west_campus,,Joanna Tang,7,2.5,,,123.2,0.1,14.9,measurements taken in the morning; DO sensor broken,,2/1/19 1:58,joannatang@umail.ucsb.edu_ucsb,2/1/19 1:58,joannatang@umail.ucsb.edu_ucsb,0,0,,
46,c3939298-418b-42ed-8da4-0a9eb2e1a628,1/18/19,west_campus,,Joanna Tang,8,8,,,194,0.1,14.7,measurements taken in the morning; DO sensor broken,,2/1/19 2:00,joannatang@umail.ucsb.edu_ucsb,2/1/19 2:00,joannatang@umail.ucsb.edu_ucsb,0,0,,
47,63878d39-c94b-4633-8489-2a2479b7b2d3,1/18/19,west_campus,,Joanna Tang,9,8,,,295.9,0.2,14.9,measurements taken in the morning; DO sensor broken,,2/1/19 2:01,joannatang@umail.ucsb.edu_ucsb,2/1/19 2:01,joannatang@umail.ucsb.edu_ucsb,0,0,,
48,023f6570-47a8-4829-8aaf-2339bca83c91,1/18/19,west_campus,,Joanna Tang,10,8.75,,,262.2,0.2,14.7,measurements taken in the morning; DO sensor broken,,2/1/19 2:02,joannatang@umail.ucsb.edu_ucsb,2/1/19 2:02,joannatang@umail.ucsb.edu_ucsb,0,0,,
49,d16b7b3b-8ba3-4c6b-8844-85428fb0c9ca,1/18/19,west_campus,,Joanna Tang,11,7,,,135.5,0.1,15,measurements taken in the morning; DO sensor broken,,2/1/19 2:04,joannatang@umail.ucsb.edu_ucsb,2/1/19 2:04,joannatang@umail.ucsb.edu_ucsb,0,0,,
50,4775440e-e83d-4bf7-879c-aa80c76f31e2,1/18/19,west_campus,,Joanna Tang,13,8,,,130.9,0.1,15,measurements taken in the morning; DO sensor broken,,2/1/19 2:05,joannatang@umail.ucsb.edu_ucsb,2/1/19 2:05,joannatang@umail.ucsb.edu_ucsb,0,0,,
51,fb4ba881-62bd-4ffb-8bd2-95214720ae2b,1/18/19,ellwood_mesa,,Joanna Tang,1,13,,,176.9,0.1,14.7,measurements taken in the morning; DO sensor broken,,2/1/19 3:29,joannatang@umail.ucsb.edu_ucsb,2/1/19 3:29,joannatang@umail.ucsb.edu_ucsb,0,0,,
52,15ba8b94-527e-4522-890f-095f8800ee3a,1/18/19,ellwood_mesa,,Joanna Tang,2,4.5,,,145,0.1,14.9,measurements taken in the morning; DO sensor broken,,2/1/19 3:30,joannatang@umail.ucsb.edu_ucsb,2/1/19 3:30,joannatang@umail.ucsb.edu_ucsb,0,0,,
53,cabac81b-dfb1-4d4c-8d73-6b02fc0caaf5,1/18/19,ellwood_mesa,,Joanna Tang,3,4.5,,,119.5,0.1,15.3,measurements taken in the morning; DO sensor broken,,2/1/19 3:31,joannatang@umail.ucsb.edu_ucsb,2/1/19 3:31,joannatang@umail.ucsb.edu_ucsb,0,0,,
54,8c82921d-d42d-4870-868c-1700fb74a243,1/18/19,ellwood_mesa,,Joanna Tang,4,4.5,,,102.5,0.1,15.3,measurements taken in the morning; DO sensor broken,,2/1/19 3:33,joannatang@umail.ucsb.edu_ucsb,2/1/19 3:33,joannatang@umail.ucsb.edu_ucsb,0,0,,
55,d3af13f3-8d5a-493e-83f4-665759c9734e,1/18/19,ellwood_mesa,,Joanna Tang,5,17,,,81.1,0,15.2,measurements taken in the morning; DO sensor broken,,2/1/19 3:34,joannatang@umail.ucsb.edu_ucsb,2/1/19 3:34,joannatang@umail.ucsb.edu_ucsb,0,0,,
56,173d8bff-7142-4826-8c2f-dbfe401b9809,1/18/19,ellwood_mesa,,Joanna Tang,6,5,,,95.9,0.1,15.3,measurements taken in the morning; DO sensor broken,,2/1/19 3:35,joannatang@umail.ucsb.edu_ucsb,2/1/19 3:35,joannatang@umail.ucsb.edu_ucsb,0,0,,
57,2621a9fd-6363-4e50-92ff-03ddd4a96e92,2/7/19,ellwood_mesa,,Joanna Tang,Created pool by trees,16,4.02,37.6,159.5,0.1,12.4,Opaque,,2/7/19 19:29,joannatang@umail.ucsb.edu_ucsb,2/7/19 19:29,joannatang@umail.ucsb.edu_ucsb,-119.8884635,34.42235444,,
58,d0d71d18-8c14-4ef6-ab42-8f2cc6bdc6a4,2/7/19,ellwood_mesa,,Joanna Tang,6,2.75,8.33,77.9,74.7,0,12.4,Not opaque,,2/7/19 19:29,joannatang@umail.ucsb.edu_ucsb,2/7/19 19:29,joannatang@umail.ucsb.edu_ucsb,-119.88896,34.42003312,,
59,a35c9a16-375c-4445-b4ff-a87c5e5ff598,2/7/19,ellwood_mesa,,Joanna Tang,5,3,6.32,56.9,77,0.1,10.6,Not opaque,,2/7/19 19:29,joannatang@umail.ucsb.edu_ucsb,2/7/19 19:29,joannatang@umail.ucsb.edu_ucsb,-119.8887396,34.41992481,,
60,77f7d213-1441-4f73-bc63-adee37a9cfbf,2/7/19,ellwood_mesa,,Joanna Tang,4,3.25,7.01,63.6,143,0.1,11,Not opaque,,2/7/19 19:29,joannatang@umail.ucsb.edu_ucsb,2/7/19 19:29,joannatang@umail.ucsb.edu_ucsb,-119.8879182,34.41921844,,
61,20cbefe8-e423-4ad2-ae7c-5db556e81f71,2/7/19,ellwood_mesa,,Joanna Tang,3,4,6.58,57.8,81.9,0.1,9.6,Not opaque,,2/7/19 19:29,joannatang@umail.ucsb.edu_ucsb,2/7/19 19:29,joannatang@umail.ucsb.edu_ucsb,-119.8874826,34.41870488,,
62,f953673f-e8d5-4652-af36-724bde7a2b99,2/7/19,ellwood_mesa,,Joanna Tang,2,3.5,4.88,43,99.9,0.1,9.7,Not opaque,,2/7/19 19:29,joannatang@umail.ucsb.edu_ucsb,2/7/19 19:29,joannatang@umail.ucsb.edu_ucsb,-119.8848998,34.41650442,,
63,cea67848-435f-4140-bcd7-929298e5ad87,2/7/19,ellwood_mesa,,Joanna Tang,1,9,4.98,39.9,136,0.1,5.8,Slightly opaque,,2/7/19 19:29,joannatang@umail.ucsb.edu_ucsb,2/7/19 19:29,joannatang@umail.ucsb.edu_ucsb,-119.8849962,34.41638025,,
64,e9e3a344-1f7d-4dce-a42e-73e93ce1977c,2/15/19,more_mesa,,Joanna Tang,Main pool,15.75,4.62,44.2,113.9,0.1,13.3,Not opaque ,,2/16/19 3:07,joannatang@umail.ucsb.edu_ucsb,2/16/19 3:07,joannatang@umail.ucsb.edu_ucsb,-119.7871771,34.41745798,,
65,33f03787-654b-4151-8f52-45882f785a9e,1/19/19,ncos,,Joanna Tang,9,7,,,526,0.3,19.5,Opaque,re-entered from Hydro + YSI survey,5/21/19 15:21,joannatang@umail.ucsb.edu_ucsb,5/21/19 15:42,joannatang@umail.ucsb.edu_ucsb,0,0,,
66,8d61d3dc-9f72-41b7-899e-bb26c3e1ed93,1/19/19,ncos,,Joanna Tang,8,14.5,,,484,0.3,19,Opaque,re-entered from Hydro + YSI survey,5/21/19 15:25,joannatang@umail.ucsb.edu_ucsb,5/21/19 15:25,joannatang@umail.ucsb.edu_ucsb,0,0,,
67,9c9aa829-4461-4173-84f1-5542164122d3,1/19/19,ncos,,Joanna Tang,7,16,,,489,0.3,19.3,Opaque,re-entered from Hydro + YSI survey,5/21/19 15:26,joannatang@umail.ucsb.edu_ucsb,5/21/19 15:26,joannatang@umail.ucsb.edu_ucsb,0,0,,
68,b2d05686-0d65-4f5c-8474-04dc6a1bbb7b,1/19/19,ncos,,Joanna Tang,6,13,,,531,0.3,19.3,Cannot see gauge,re-entered from Hydro + YSI survey,5/21/19 15:27,joannatang@umail.ucsb.edu_ucsb,5/21/19 15:27,joannatang@umail.ucsb.edu_ucsb,0,0,,
69,d9e7513b-3174-46cb-8c1d-09ba6dd1f85a,1/19/19,ncos,,Joanna Tang,5,16.75,,,568,0.3,19,Opaque,re-entered from Hydro + YSI survey,5/21/19 15:28,joannatang@umail.ucsb.edu_ucsb,5/21/19 15:28,joannatang@umail.ucsb.edu_ucsb,0,0,,
70,abe1c9dd-7935-4f54-8c66-a2336ee45716,1/19/19,ncos,,Joanna Tang,4,16.5,,,599,0.3,18.9,Opaque,re-entered from Hydro + YSI survey,5/21/19 15:31,joannatang@umail.ucsb.edu_ucsb,5/21/19 15:31,joannatang@umail.ucsb.edu_ucsb,0,0,,
71,73159de2-eccc-47f0-8b88-1f21e5a0397a,1/19/19,ncos,,Joanna Tang,1,18,,,263.8,0.1,17.6,Opaque,Cannot see gauge; re-entered from Hydro + YSI survey,5/21/19 15:33,joannatang@umail.ucsb.edu_ucsb,5/21/19 15:33,joannatang@umail.ucsb.edu_ucsb,0,0,,
72,b230f65c-36bd-437d-8c12-4fd5f3efc8c5,1/19/19,ncos,,Joanna Tang,2,18,,,305.1,0.2,18.5,Opaque,Cannot see gauge; re-entered from Hydro + YSI survey,5/21/19 15:34,joannatang@umail.ucsb.edu_ucsb,5/21/19 15:34,joannatang@umail.ucsb.edu_ucsb,0,0,,
73,a2993b34-4b32-4943-868b-f5eed9a173ff,1/19/19,sierra_madre,,Joanna Tang,Center pool,18,,,203.4,0.1,20.8,,re-entered from Hydro + YSI survey,5/21/19 15:35,joannatang@umail.ucsb.edu_ucsb,5/21/19 15:35,joannatang@umail.ucsb.edu_ucsb,0,0,,
74,37e24555-163f-4372-8cb6-4c0875baf9d3,1/19/19,storke_ranch,,Kelly Hildner,Main,18.5,,,443.9,0.2,22.1,,re-entered from Hydro + YSI survey,5/21/19 15:37,joannatang@umail.ucsb.edu_ucsb,5/21/19 15:37,joannatang@umail.ucsb.edu_ucsb,0,0,,
75,3f421a7e-f1ae-4e4c-8f3a-a05399a277c9,1/19/19,storke_ranch,,Kelly Hildner,North,12.5,,,282.7,0.2,17.9,,re-entered from Hydro + YSI survey,5/21/19 15:38,joannatang@umail.ucsb.edu_ucsb,5/21/19 15:38,joannatang@umail.ucsb.edu_ucsb,0,0,,
76,bc4b7234-4edd-489c-800d-101d6ef691f3,1/19/19,storke_ranch,,Kelly Hildner,2007,11.75,,,618,0.4,17.4,,re-entered from Hydro + YSI survey,5/21/19 15:40,joannatang@umail.ucsb.edu_ucsb,5/21/19 15:42,joannatang@umail.ucsb.edu_ucsb,0,0,,
77,cd0a549f-597e-4f56-8c70-051575ef66f4,1/19/19,storke_ranch,,Kelly Hildner,South,11.5,,,255.3,0.1,15.9,,re-entered from Hydro + YSI survey,5/21/19 15:41,joannatang@umail.ucsb.edu_ucsb,5/21/19 15:41,joannatang@umail.ucsb.edu_ucsb,0,0,,
78,a2f149d3-a685-43dd-8fa3-16edaaa56aeb,1/19/19,storke_ranch,,Kelly Hildner,2017,12.5,,,223.9,0.1,18.2,,re-entered from Hydro + YSI survey,5/21/19 15:43,joannatang@umail.ucsb.edu_ucsb,5/21/19 15:43,joannatang@umail.ucsb.edu_ucsb,0,0,,
79,61d7906b-2e68-48f8-82ef-cc5bd7eefa01,1/19/19,storke_ranch,,Joanna Tang,East,8.5,,,232.7,0.1,22,,re-entered from Hydro + YSI survey,5/21/19 15:44,joannatang@umail.ucsb.edu_ucsb,5/21/19 15:44,joannatang@umail.ucsb.edu_ucsb,0,0,,
80,34b9b69d-a3c1-4abd-8f8f-0017c9d198d6,1/19/19,ncos,,Joanna Tang,3,12.5,,,199.5,0.1,18.4,Opaque,re-entered from Hydro + YSI survey,5/21/19 15:45,joannatang@umail.ucsb.edu_ucsb,5/21/19 15:45,joannatang@umail.ucsb.edu_ucsb,0,0,,
81,5f3c2f5a-dad3-4482-832f-99d1f4096751,1/21/19,delsol_caminocorto,,Joanna Tang,5,6,,,76.5,0,19.5,Not opaque,surveyed in afternoon; re-entered from Hydro + YSI survey,5/21/19 15:47,joannatang@umail.ucsb.edu_ucsb,5/21/19 15:48,joannatang@umail.ucsb.edu_ucsb,0,0,,
82,79d33ee5-e73e-460f-8d1f-0ce59a686804,1/21/19,delsol_caminocorto,,Joanna Tang,4,6,,,76.5,0,19.5,Not opaque,surveyed in afternoon; re-entered from Hydro + YSI survey,5/21/19 15:49,joannatang@umail.ucsb.edu_ucsb,5/21/19 15:49,joannatang@umail.ucsb.edu_ucsb,0,0,,
83,d8b6094b-e02b-4b61-8257-d466543c7677,1/21/19,delsol_caminocorto,,Joanna Tang,3,7,,,75.8,0,19.5,Not opaque,surveyed in afternoon; re-entered from Hydro + YSI survey,5/21/19 15:49,joannatang@umail.ucsb.edu_ucsb,5/21/19 15:49,joannatang@umail.ucsb.edu_ucsb,0,0,,
84,ed0b9e17-fb9d-443e-848c-f45cfeda2716,1/21/19,delsol_caminocorto,,Joanna Tang,8,3,,,88,0,20,Not opaque,surveyed in afternoon; re-entered from Hydro + YSI survey,5/21/19 15:51,joannatang@umail.ucsb.edu_ucsb,5/21/19 15:51,joannatang@umail.ucsb.edu_ucsb,0,0,,
85,3bcd2bfe-782b-444f-8ae4-e8056432e42c,1/21/19,delsol_caminocorto,,Joanna Tang,7,8.5,,,71.4,0,18.5,Not opaque,surveyed in afternoon; re-entered from Hydro + YSI survey,5/21/19 15:52,joannatang@umail.ucsb.edu_ucsb,5/21/19 15:52,joannatang@umail.ucsb.edu_ucsb,0,0,,
86,91054f68-c167-4b7c-855d-df9166d7cd67,1/21/19,delsol_caminocorto,,Joanna Tang,2,10,,,80.2,0,18.5,Not opaque,surveyed in afternoon; re-entered from Hydro + YSI survey,5/21/19 15:53,joannatang@umail.ucsb.edu_ucsb,5/21/19 15:53,joannatang@umail.ucsb.edu_ucsb,0,0,,
